rid,corpus,turnaround_bt,dry_end_bt,fc_bt,drop_bt,fc_t,drop_t
artisan:24-06-23_1237-australia-1,artisan,60.0,150.3,179.0,195.0,596,688
artisan:24-06-23_1330-australia-2,artisan,56.0,144.7,169.0,197.0,510,672
artisan:24-09-07_1053-kona-1,artisan,67.0,149.0,181.0,197.3,638,738
artisan:24-09-07_1155-kona-2,artisan,70.0,147.0,181.0,195.3,622,720
artisan:24-09-07_1243-taiwan,artisan,66.0,153.7,173.3,190.0,568,692
artisan:24-09-07_1326-au-nica,artisan,65.0,145.0,180.0,195.3,626,715
artisan:24-09-07_1410-au-so,artisan,62.0,159.0,183.0,200.3,644,738
artisan:24-09-07_1517-nicragua,artisan,60.0,150.3,183.0,200.0,649,741
artisan:24-10-06_1456-alisan-1,artisan,69.0,151.7,172.0,189.0,494,621
artisan:24-10-06_1546-alisan-2,artisan,65.0,148.7,173.0,194.7,512,656
artisan:24-10-06_1640-alisan-3,artisan,66.0,148.3,174.0,192.7,511,644
artisan:25-07-16_1854_b1,artisan,69.0,152.0,178.0,196.0,522,649
artisan:25-07-16_1933-cub-b2,artisan,68.0,151.0,179.7,199.0,530,616
artisan:25-07-16_2009-b3,artisan,68.0,148.0,177.0,198.3,552,676
artisan:25-07-17_1845-cuba-b1,artisan,66.0,148.0,178.3,197.0,637,741
artisan:25-07-17_1921-cuba-b2,artisan,69.0,147.0,179.0,198.0,549,639
artisan:25-10-12_1211-costarica-hermosa-2,artisan,88.0,169.0,170.0,195.0,432,580
artisan:25-10-12_1211-costarica-hermosa-3,artisan,88.0,150.0,180.0,193.7,511,594
artisan:25-10-12_1211-costarica-hermosa-4,artisan,88.0,147.0,181.0,194.0,477,557
artisan:25-10-12_1211-costarica-hermosa,artisan,88.0,151.3,177.7,194.3,494,600
artisan:25-10-19_1051-1-costarica,artisan,85.0,161.0,177.0,194.0,496,619
artisan:25-10-19_1126-brazil1,artisan,91.0,148.0,177.0,193.0,467,564
artisan:25-10-19_1154-brazil2,artisan,86.0,150.7,176.7,193.0,482,578
artisan:25-10-19_1225-brazil3,artisan,89.0,148.3,177.0,191.3,450,534
artisan:25-10-19_1305-brazil4,artisan,89.0,149.0,177.3,193.0,481,568
artisan:brasil-ferm-b2-24-11-09_1656,artisan,59.0,162.0,168.3,198.7,561,709
artisan:brasil-ferm-b3-24-11-09_1743,artisan,59.0,148.3,184.3,201.0,633,707
artisan:brasil-fm-1-24-11-09_1610,artisan,67.0,150.0,183.0,202.0,638,732
artisan:brasil_25-03-15_1310,artisan,72.0,151.0,184.0,201.0,607,699
artisan:cuba-1-25-03-30_1134,artisan,62.0,150.7,179.7,201.3,614,711
artisan:cuba-2-25-03-30_1214,artisan,64.0,150.0,180.3,200.0,580,676
artisan:cuba-3-25-03-30_1252,artisan,60.0,148.0,180.0,200.0,601,695
artisan:cuba_25-03-16_1235,artisan,62.0,146.3,181.0,199.0,631,728
artisan:cuba_25-03-16_1318,artisan,64.0,146.7,179.0,198.7,607,703
artisan:ind2-25-04-06_1039,artisan,69.0,148.0,175.0,197.0,517,650
artisan:indo-25-04-06_0951,artisan,65.0,149.0,178.0,198.0,645,772
artisan:jamaica_4_24-12-06_2056,artisan,66.0,150.0,177.0,197.0,557,678
artisan:jamaica_b2_24-12-06_1938,artisan,61.0,163.0,179.0,198.0,610,717
artisan:jamaice_b1_24-12-06_1855,artisan,60.0,155.0,177.3,196.0,589,705
artisan:kona-24-11-12_1943,artisan,63.0,149.0,179.0,196.3,620,726
artisan:kona_3_dark24-12-06_2016,artisan,64.0,149.3,179.0,198.0,582,700
artisan:nicaragua_25-03-15_1706,artisan,65.0,146.0,175.3,198.7,621,754
artisan:taiwan-nantou,artisan,65.0,154.7,172.7,191.7,616,765
artisan:tw_alisan_1,artisan,73.0,150.7,169.7,193.0,481,635
artisan:tw_nantouu-24-10-20_1503,artisan,69.0,147.0,172.0,190.0,542,669
artisan:vietnam-b1-24-10-27_1418,artisan,68.0,145.0,177.0,196.3,612,701
artisan:vietnam-b2-24-10-27_1458,artisan,68.0,147.0,181.0,201.0,608,693
store:3fbfd888,store,90.0,nan,188.0,201.0,523,576
store:5a32334c,store,94.0,150.0,nan,191.0,622,699
store:d251013e,store,85.0,150.0,185.0,190.0,630,698
store:b74153ed,store,87.0,150.0,182.0,187.0,634,720
store:f3fc65fa,store,88.0,150.0,184.0,193.0,643,773
store:bf85c77a,store,97.0,150.0,185.0,189.0,606,656
store:a4299aea,store,96.0,151.0,186.0,193.0,589,664
store:d55b0fce,store,94.0,150.0,184.0,190.0,631,715
store:edbe9a76,store,92.0,150.0,186.0,191.0,627,687
store:98fab734,store,94.0,150.0,180.0,189.0,604,722
store:43c84c98,store,88.0,150.0,186.0,193.0,636,710
store:8ac8a5e4,store,90.0,150.0,183.0,187.0,612,692
store:f24fca98,store,88.0,150.0,181.0,187.0,646,725
store:98df5723,store,95.0,150.0,nan,191.0,669,709
