segment,model,horizon_s,rmse_c_per_min,n
all,arx,20,1.5088,36429
all,arx,30,1.6144,36429
all,arx,40,1.6319,36429
all,arx_noheat,20,1.5592,36429
all,arx_noheat,30,1.6980,36429
all,arx_noheat,40,1.7539,36429
all,persist,20,8.1052,36429
all,persist,30,10.0173,36429
all,persist,40,11.2680,36429
all,extrap,20,8.5694,36429
all,extrap,30,14.3176,36429
all,extrap,40,20.7915,36429
bt_ge_150,arx,20,1.5093,14542
bt_ge_150,arx,30,1.6452,14542
bt_ge_150,arx,40,1.6922,14542
bt_ge_150,arx_noheat,20,1.6377,14542
bt_ge_150,arx_noheat,30,1.8529,14542
bt_ge_150,arx_noheat,40,1.9848,14542
bt_ge_150,persist,20,1.5809,14542
bt_ge_150,persist,30,1.6911,14542
bt_ge_150,persist,40,1.7822,14542
bt_ge_150,extrap,20,2.6025,14542
bt_ge_150,extrap,30,3.3191,14542
bt_ge_150,extrap,40,4.0267,14542
